ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma90,ma_v_90,ma120,ma_v_120
600887.SH,20090105,1.14,1.16,1.13,1.15,1.12,0.029999999999999805,2.68,106670.67,86957.001,1.13,128062.65,1.18,184917.36,1.22,231709.39,1.2,269813.27,1.12,303680.51,1.37,296246.39,1.62,240191.09
600887.SH,20090106,1.15,1.19,1.14,1.19,1.15,0.040000000000000036,3.48,230500.31,191725.732,1.15,138332.47,1.18,189481.76,1.22,228602.05,1.2,265479.27,1.12,298574.74,1.36,298330.26,1.61,241078.72
600887.SH,20090107,1.19,1.21,1.17,1.19,1.19,0.0,0.0,159827.84,135836.998,1.15,141483.84,1.17,188334.88,1.22,217423.15,1.2,262180.64,1.12,294084.82,1.35,299751.33,1.6,241579.51
600887.SH,20090108,1.17,1.18,1.16,1.17,1.19,-0.020000000000000018,-1.68,108500.82,90683.038,1.16,140709.58,1.16,163657.47,1.21,207101.5,1.2,260232.55,1.12,285745.71,1.34,300251.08,1.59,241033.47
600887.SH,20090109,1.17,1.18,1.15,1.17,1.17,0.0,0.0,107247.19,89336.992,1.17,142549.37,1.15,151043.75,1.2,187956.65,1.21,259413.86,1.12,279239.85,1.33,300937.58,1.57,241147.67
600887.SH,20090112,1.18,1.23,1.15,1.22,1.17,0.050000000000000044,4.27,204389.47,174201.623,1.19,162093.13,1.16,145077.89,1.2,181527.61,1.21,256915.81,1.13,277199.99,1.32,302790.07,1.56,242034.84
600887.SH,20090113,1.2,1.22,1.18,1.18,1.22,-0.040000000000000036,-3.28,163725.44,140271.538,1.19,148738.15,1.17,143535.31,1.2,175589.91,1.21,257277.28,1.13,274898.88,1.3,304365.39,1.55,242995.02
600887.SH,20090114,1.18,1.23,1.18,1.22,1.18,0.040000000000000036,3.39,129498.25,111066.641,1.19,142672.23,1.17,142078.04,1.2,175162.68,1.22,254421.07,1.13,271724.35,1.29,305500.08,1.54,243456.33
600887.SH,20090115,1.21,1.27,1.2,1.24,1.22,0.020000000000000018,1.64,188021.92,167001.212,1.21,158576.45,1.18,149643.02,1.2,176228.92,1.22,230447.49,1.13,269364.67,1.28,307303.62,1.53,244466.9
600887.SH,20090116,1.25,1.27,1.24,1.25,1.24,0.010000000000000009,0.81,127185.06,113697.925,1.22,162564.03,1.2,152556.7,1.2,172277.86,1.22,218611.05,1.14,268077.22,1.27,308429.02,1.53,244913.49
600887.SH,20090119,1.26,1.29,1.24,1.24,1.25,-0.010000000000000009,-0.8,181021.44,163097.796,1.23,157890.42,1.21,159991.77,1.19,172454.57,1.22,207803.52,1.14,266882.29,1.26,310081.82,1.52,245969.7
600887.SH,20090120,1.24,1.3,1.24,1.29,1.24,0.050000000000000044,4.03,278156.97,253833.836,1.25,180776.73,1.22,164757.44,1.2,177119.6,1.22,207320.51,1.15,267780.85,1.26,312850.25,1.51,247533.31
600887.SH,20090121,1.27,1.29,1.26,1.28,1.29,-0.010000000000000009,-0.78,158940.91,144960.956,1.26,186665.26,1.23,164668.75,1.2,176501.81,1.22,199838.35,1.15,265758.01,1.25,314384.83,1.5,248459.43
600887.SH,20090122,1.28,1.3,1.27,1.28,1.28,0.0,0.0,76213.59,69600.471,1.27,164303.59,1.24,161440.02,1.2,162548.75,1.22,191881.01,1.16,263149.68,1.24,314204.68,1.49,248490.9
600887.SH,20090123,1.28,1.32,1.27,1.29,1.28,0.010000000000000009,0.78,293223.46,272255.3,1.28,197511.27,1.25,180037.65,1.2,165540.7,1.22,185316.99,1.16,264909.78,1.23,317169.44,1.48,250370.88
600887.SH,20090202,1.31,1.35,1.3,1.35,1.29,0.06000000000000005,4.65,264477.52,249920.29,1.3,214202.49,1.26,186046.46,1.21,165562.17,1.22,183033.89,1.17,264942.75,1.22,319764.72,1.47,251725.09
600887.SH,20090203,1.34,1.45,1.33,1.41,1.35,0.05999999999999983,4.44,502273.31,503414.33,1.32,259025.76,1.28,219901.24,1.23,181718.28,1.23,190360.35,1.18,268633.17,1.22,324989.77,1.46,255404.16
600887.SH,20090204,1.41,1.47,1.39,1.43,1.41,0.020000000000000018,1.42,317945.82,322815.291,1.35,290826.74,1.31,238746.0,1.24,190412.02,1.23,196357.12,1.18,268942.75,1.21,328263.41,1.45,257549.78
600887.SH,20090205,1.42,1.44,1.37,1.38,1.43,-0.050000000000000044,-3.5,242145.95,243551.058,1.37,324013.21,1.32,244158.4,1.25,196900.71,1.24,198872.08,1.19,270340.26,1.2,330695.46,1.44,259231.26
600887.SH,20090206,1.4,1.44,1.4,1.43,1.38,0.050000000000000044,3.62,238151.81,241970.29,1.4,312998.88,1.34,255255.08,1.27,203905.89,1.24,199936.93,1.2,269930.58,1.2,333006.12,1.43,260554.33
