code	class
601318	Financial
601336	Financial
601601	Financial
601628	Financial
000627	Financial
600390	Financial
600705	Financial
600816	Financial
000415	Financial
600000	Financial
600015	Financial
600016	Financial
600036	Financial
600919	Financial
600926	Financial
601009	Financial
601166	Financial
601169	Financial
601229	Financial
601288	Financial
601328	Financial
601398	Financial
601818	Financial
601838	Financial
601939	Financial
601988	Financial
601997	Financial
601998	Financial
000001	Financial
002142	Financial
600030	Financial
600061	Financial
600109	Financial
600369	Financial
600837	Financial
600909	Financial
600958	Financial
600999	Financial
601066	Financial
601108	Financial
601198	Financial
601211	Financial
601377	Financial
601555	Financial
601688	Financial
601788	Financial
601878	Financial
601881	Financial
601901	Financial
000166	Financial
000728	Financial
000776	Financial
000783	Financial
002673	Financial
002736	Financial
002797	Financial
300059	Financial
600489	Period
600547	Period
601899	Period
600011	Period
600023	Period
600027	Period
600795	Period
601991	Period
600157	Period
600188	Period
601088	Period
601225	Period
601898	Period
000983	Period
600010	Period
600019	Period
000709	Period
000898	Period
000959	Period
600028	Period
600339	Period
600688	Period
600583	Period
601808	Period
601857	Period
600025	Period
600674	Period
600886	Period
600900	Period
600362	Period
601212	Period
000630	Period
600111	Period
600549	Period
603799	Period
603993	Period
002460	Period
002466	Period
601985	Period
600519	Other
600809	Other
000568	Other
002304	Other
600703	Other
601012	Other
603986	Other
300296	Other
600176	Other
600233	Other
002120	Other
002352	Other
002468	Other
601933	Other
601989	Other
600100	Other
600271	Other
600089	Other
600482	Other
601727	Other
601877	Other
002202	Other
002024	Other
002008	Other
002236	Other
002415	Other
300124	Other
600050	Other
300017	Other
600177	Other
600398	Other
600018	Other
601018	Other
601228	Other
600031	Other
000157	Other
000425	Other
600038	Other
600118	Other
600372	Other
600760	Other
600893	Other
000768	Other
601360	Other
002555	Other
002558	Other
600309	Other
601216	Other
603260	Other
000792	Other
002450	Other
002601	Other
600346	Other
000703	Other
002493	Other
600196	Other
600276	Other
603259	Other
000963	Other
002001	Other
002294	Other
002411	Other
002422	Other
000826	Other
300070	Other
300072	Other
600004	Other
600009	Other
002050	Other
603833	Other
002572	Other
600690	Other
000100	Other
000333	Other
000651	Other
002032	Other
002508	Other
600068	Other
600170	Other
601117	Other
601186	Other
601390	Other
601611	Other
601618	Other
601668	Other
601669	Other
601800	Other
000961	Other
002310	Other
600029	Other
600115	Other
600221	Other
601021	Other
601111	Other
600516	Other
001965	Other
601888	Other
300144	Other
600219	Other
601600	Other
000408	Other
000553	Other
002714	Other
000786	Other
002271	Other
601828	Other
600297	Other
600660	Other
600741	Other
000338	Other
002085	Other
002602	Other
002625	Other
600066	Other
600104	Other
601238	Other
601633	Other
000625	Other
002594	Other
600340	Other
601155	Other
000671	Other
600048	Other
600208	Other
600383	Other
600606	Other
001979	Other
002146	Other
600352	Other
600887	Other
600406	Other
600570	Other
600588	Other
000938	Other
002065	Other
002153	Other
002230	Other
300033	Other
603156	Other
600153	Other
600704	Other
600739	Other
600415	Other
600867	Other
000661	Other
002007	Other
002252	Other
300122	Other
300142	Other
603288	Other
000895	Other
600585	Other
601992	Other
601919	Other
600438	Other
002311	Other
601006	Other
601333	Other
600487	Other
600498	Other
600522	Other
601138	Other
000063	Other
300136	Other
000503	Other
002044	Other
300003	Other
300015	Other
600998	Other
601607	Other
600637	Other
600977	Other
002027	Other
002624	Other
300251	Other
603160	Other
000413	Other
000725	Other
002179	Other
002241	Other
002456	Other
002475	Other
002925	Other
300408	Other
300433	Other
601766	Other
600085	Other
600332	Other
600436	Other
600518	Other
600535	Other
600566	Other
603858	Other
000423	Other
000538	Other
002773	Other
300024	Other
002081	Other
000839	Other
